MEDICARE_SPECIALTY_CODE,MEDICARE_PROVIDER_SUPPLIER_TYPE_DESCRIPTION,PROVIDER_TAXONOMY_CODE,PROVIDER_TAXONOMY_DESCRIPTION
14,Physician/Neurosurgery,207T00000X,Allopathic & Osteopathic Physicians/Neurological Surgery
15,Speech Language Pathologist,235Z00000X,"Speech, Language and Hearing Service Providers"
16,Physician/Obstetrics & Gynecology,207V00000X,Allopathic & Osteopathic Physicians/Obstetrics & Gynecology
16,Physician/Obstetrics & Gynecology,207VB0002X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Bariatric Medicine"
16,Physician/Obstetrics & Gynecology,207VC0200X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Critical Care Medicine"
16,Physician/Obstetrics & Gynecology,207VF0040X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Female Pelvic Medicine and Reconstructive Surgery"
16,Physician/Obstetrics & Gynecology,207VX0201X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecologic Oncology"
16,Physician/Obstetrics & Gynecology,207VG0400X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Gynecology"
16,Physician/Obstetrics & Gynecology,207VH0002X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Hospice and Palliative Medicine"
16,Physician/Obstetrics & Gynecology,207VM0101X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Maternal & Fetal Medicine"
16,Physician/Obstetrics & Gynecology,207VX0000X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Obstetrics"
16,Physician/Obstetrics & Gynecology,207VE0102X,"Allopathic & Osteopathic Physicians/Obstetrics & Gynecology, Reproductive Endocrinology"
17,Physician/Hospice and Palliative Care,2086H0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, General Surgery"
17,Physician/Hospice and Palliative Care,207QH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Family Practice"
17,Physician/Hospice and Palliative Care,207LH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Anesthesiology"
17,Physician/Hospice and Palliative Care,207RH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Internal Medicine"
17,Physician/Hospice and Palliative Care,207VH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Obstetrics & Gynecology"
17,Physician/Hospice and Palliative Care,2084H0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Neuropsychiatry"
17,Physician/Hospice and Palliative Care,207PH0002X,"Allopathic & Osteopathic Physicians/Surgery/Hospice and Palliative Medicine, Emergency Medicine"
18,Physician/Ophthalmology,207W00000X,Allopathic & Osteopathic Physicians/Ophthalmology
18,Physician/Ophthalmology,207WX0009X,"Allopathic & Osteopathic Physicians/Ophthalmology, Glaucoma Specialist"
18,Physician/Ophthalmology,207WX0107X,"Allopathic & Osteopathic Physicians/Ophthalmology, Retina Specialist"
18,Physician/Ophthalmology,207WX0108X,"Allopathic & Osteopathic Physicians/Ophthalmology, Uveitis and Ocular Inflammatory Disease"
18,Physician/Ophthalmology,207WX0109X,Allopathic & Osteopathic Physicians/Ophthalmology/Neuro-ophthalmology
18,Physician/Ophthalmology,207WX0110X,Allopathic & Osteopathic Physicians/Ophthalmology/Pediatric Ophthalmology and Strabismus Specialist
18,Physician/Ophthalmology,207WX0120X,"Allopathic & Osteopathic Physicians/Ophthalmology, Cornea and External Diseases Specialist"
18,Physician/Ophthalmology,207WX0200X,Allopathic & Osteopathic Physicians/Ophthalmic Plastic and Reconstructive Surgery
19,Oral Surgery (Dentist only),1223S0112X,"Allopathic & Osteopathic Physicians/Ophthalmology, Dental Providers/Dentist, Oral & Maxillofacial Surgery"
20,Physician/Orthopedic Surgery,207X00000X,Allopathic & Osteopathic Physicians/Orthopedic Surgery
20,Physician/Orthopedic Surgery,207XS0114X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Adult Reconstructive Orthopedic Surgery"
20,Physician/Orthopedic Surgery,207XX0004X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Foot and Ankle Surgery"
20,Physician/Orthopedic Surgery,207XS0106X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Hand Surgery"
20,Physician/Orthopedic Surgery,207XS0117X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Orthopedic Surgery of the Spine"
20,Physician/Orthopedic Surgery,207XX0801X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Orthopedic Trauma"
20,Physician/Orthopedic Surgery,207XP3100X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Pediatric Orthopedic Surgery"
20,Physician/Orthopedic Surgery,207XX0005X,"Allopathic & Osteopathic Physicians/Orthopedic Surgery, Sports Medicine"
21,Clinical Cardiac Electrophysiology,207RC0001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Clinical Cardiatric Electrophysiology"
22,Physician/Pathology,207ZP0101X,"Allopathic & Osteopathic Physicians/Pathology, Anatomic Pathology"
22,Physician/Pathology,207ZP0102X,"Allopathic & Osteopathic Physicians/Pathology, Anatomic Pathology & Clinical Pathology"
22,Physician/Pathology,207ZB0001X,"Allopathic & Osteopathic Physicians/Pathology, Blood Banking & Transfusion Medicine"
22,Physician/Pathology,207ZP0104X,"Allopathic & Osteopathic Physicians/Pathology, Chemical Pathology"
22,Physician/Pathology,207ZC0006X,"Allopathic & Osteopathic Physicians/Pathology, Clinical Pathology"
22,Physician/Pathology,207ZP0105X,"Allopathic & Osteopathic Physicians/Pathology, Clinical Pathology/Laboratory Medicine"
22,Physician/Pathology,207ZC0500X,"Allopathic & Osteopathic Physicians/Pathology, Cytopathology"
22,Physician/Pathology,207ZD0900X,"Allopathic & Osteopathic Physicians/Pathology, Dermapathology"
22,Physician/Pathology,207ZF0201X,"Allopathic & Osteopathic Physicians/Pathology, Forensic Pathology"
22,Physician/Pathology,207ZH0000X,"Allopathic & Osteopathic Physicians/Pathology, Hematology"
22,Physician/Pathology,207ZI0100X,"Allopathic & Osteopathic Physicians/Pathology, Immunopathology"
22,Physician/Pathology,207ZM0300X,"Allopathic & Osteopathic Physicians/Pathology, Medical Microbiology"
22,Physician/Pathology,207ZP0007X,"Allopathic & Osteopathic Physicians/Pathology, Molecular Genetic Pathology"
22,Physician/Pathology,207ZN0500X,"Allopathic & Osteopathic Physicians/Pathology, Neuropathology"
22,Physician/Pathology,207ZP0213X,"Allopathic & Osteopathic Physicians/Pathology, Pediatric Pathology"
23,Physician/Sports Medicine,207XX0005X,Allopathic & Osteopathic Physicians/Orthopedic Surgery/Sports Medicine
23,Physician/Sports Medicine,207PS0010X,"Allopathic & Osteopathic Physicians/Emergency Medicine, Sports Medicine"
23,Physician/Sports Medicine,207QS0010X,"Allopathic & Osteopathic Physicians/Family Medicine, Sports Medicine"
23,Physician/Sports Medicine,207RS0010X,"Allopathic & Osteopathic Physicians/Internal Medicine, Sports Medicine"
23,Physician/Sports Medicine,204C00000X,"Allopathic & Osteopathic Physicians/Neuromusculoskeletal Medicine, Sports Medicine"
23,Physician/Sports Medicine,2080S0010X,"Allopathic & Osteopathic Physicians/Pediatrics, Sports Medicine"
23,Physician/Sports Medicine,2081P0301X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Brain Injury"
23,Physician/Sports Medicine,2081S0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Sports Medicine"
23,Physician/Sports Medicine,2083S0010X,"Allopathic & Osteopathic Physicians/Preventive Medicine, Sports Medicine"
23,Physician/Sports Medicine,2084S0010X,"Allopathic & Osteopathic Physicians/ Psychiatry & Neurology, Sports Medicine"
24,Physician/Plastic and Reconstructive Surgery,208200000X,Allopathic & Osteopathic Physicians/Plastic Surgery
24,Physician/Plastic and Reconstructive Surgery,2082S0099X,"Allopathic & Osteopathic Physicians/Plastic Surgery, Plastic Surgery Within the Head and Neck"
24,Physician/Plastic and Reconstructive Surgery,2082S0105X,"Allopathic & Osteopathic Physicians/Plastic Surgery, Surgery of the Hand"
25,Physician/Physical Medicine and Rehabilitation,208100000X,Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation
25,Physician/Physical Medicine and Rehabilitation,2081H0002X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Hospice and Palliative Medicine"
25,Physician/Physical Medicine and Rehabilitation,2081N0008X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Neuromuscular Medicine"
25,Physician/Physical Medicine and Rehabilitation,2081P2900X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Pain Medicine"
25,Physician/Physical Medicine and Rehabilitation,2081P0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Pediatric Rehabilitation Medicine"
25,Physician/Physical Medicine and Rehabilitation,2081P0004X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Spinal Cord Injury Medicine"
25,Physician/Physical Medicine and Rehabilitation,2081S0010X,"Allopathic & Osteopathic Physicians/Physical Medicine & Rehabilitation, Sports Medicine"
26,Physician/Psychiatry,2084P0800X,Allopathic & Osteopathic Physicians/Psychiatry
26,Physician/Psychiatry,2084P0301X,"Allopathic & Osteopathic Physicians/Psychiatry & Neurology/Respiratory, Developmental, Rehabilitative and Restorative Service , Brain Injury Medicine"
27,Physician/Geriatric Psychiatry,207QG0300X,"Allopathic & Osteopathic Physicians/Family Medicine, Geriatric Medicine"
28,Physician/Colorectal Surgery (Proctology),208C00000X,Allopathic & Osteopathic Physicians/Colon & Rectal Surgery
29,Physician/Pulmonary Disease,207RP1001X,"Allopathic & Osteopathic Physicians/Internal Medicine, Pulmonary Disease"
30,Physician/Diagnostic Radiology,2085R0202X,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology"
32,Anesthesiology Assistant,367H00000X,Physician Assistants & Advanced Practice Nursing Providers/Anesthesiologist Assistant
33,Physician/Thoracic Surgery,208G00000X,Allopathic & Osteopathic Physicians/Thoracic Surgery (Cardiothoracic Vascular Surgery)
34,Physician/Urology,208800000X,Allopathic & Osteopathic Physicians/Urology
34,Physician/Urology,2088P0231X,"Allopathic & Osteopathic Physicians/Urology, Pediatric Urology"
34,Physician/Urology,2088F0040X,Female Pelvic Medicine & Reconstructive Surgery
35,Chiropractic,111N00000X,Chiropractic Providers/Chiropractor
35,Chiropractic,111NI0013X,"Chiropractic Providers/Chiropractor, Independent Medical Examiner"
35,Chiropractic,111NI0900X,"Chiropractic Providers/Chiropractor, Internist"
35,Chiropractic,111NN0400X,"Chiropractic Providers/Chiropractor, Neurology"
35,Chiropractic,111NN1001X,"Chiropractic Providers/Chiropractor, Nutrition"
35,Chiropractic,111NX0100X,"Chiropractic Providers/Chiropractor, Occupational Medicine"
35,Chiropractic,111NX0800X,"Chiropractic Providers/Chiropractor, Orthopedic"
35,Chiropractic,111NP0017X,"Chiropractic Providers/Chiropractor, Pediatric Chiropractor"
35,Chiropractic,111NR0200X,"Chiropractic Providers/Chiropractor, Radiology"
35,Chiropractic,111NR0400X,"Chiropractic Providers/Chiropractor, Rehabilitation"
35,Chiropractic,111NS0005X,"Chiropractic Providers/Chiropractor, Sports Physician"
35,Chiropractic,111NT0100X,"Chiropractic Providers/Chiropractor, Thermography"
36,Physician/Nuclear Medicine,207U00000X,Allopathic & Osteopathic Physicians/Nuclear Medicine
36,Physician/Nuclear Medicine,207UN0903X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, In Vivo & In Vitro Nuclear Medicine"
36,Physician/Nuclear Medicine,207UN0901X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, Nuclear Cardiology"
36,Physician/Nuclear Medicine,207UN0902X,"Allopathic & Osteopathic Physicians/Nuclear Medicine, Nuclear Imaging & Therapy"
37,Physician/Pediatric Medicine,208000000X,Allopathic & Osteopathic Physicians/Pediatrics
37,Physician/Pediatric Medicine,2080A0000X,"Allopathic & Osteopathic Physicians/Pediatrics, Adolescent Medicine"
37,Physician/Pediatric Medicine,2080I0007X,"Allopathic & Osteopathic Physicians/Pediatrics, Clinical & Laboratory Immunology"
37,Physician/Pediatric Medicine,2080P0006X,"Allopathic & Osteopathic Physicians/Pediatrics, Developmental–Behavioral Pediatrics"
37,Physician/Pediatric Medicine,2080H0002X,"Allopathic & Osteopathic Physicians/Pediatrics, Hospice and Palliative Medicine"
37,Physician/Pediatric Medicine,2080T0002X,"Allopathic & Osteopathic Physicians/Pediatrics, Medical Toxicology"
37,Physician/Pediatric Medicine,2080N0001X,"Allopathic & Osteopathic Physicians/Pediatrics, Neonatal-Perinatal Medicine"
37,Physician/Pediatric Medicine,2080P0008X,"Allopathic & Osteopathic Physicians/Pediatrics, Neurodevelopmental Disabilities"
37,Physician/Pediatric Medicine,2080P0201X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Allergy & Immunology"
37,Physician/Pediatric Medicine,2080P0202X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Cardiology"
37,Physician/Pediatric Medicine,2080P0203X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Critical Care Medicine"
37,Physician/Pediatric Medicine,2080P0204X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Emergency Medicine"
37,Physician/Pediatric Medicine,2080P0205X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Endocrinology"
37,Physician/Pediatric Medicine,2080P0206X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Gastroenterology"
37,Physician/Pediatric Medicine,2080P0207X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Hematology-Oncology"
37,Physician/Pediatric Medicine,2080P0208X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Infectious Diseases"
37,Physician/Pediatric Medicine,2080P0210X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Nephrology"
37,Physician/Pediatric Medicine,2080P0214X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Pulmonology"
37,Physician/Pediatric Medicine,2080P0216X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Rheumatology"
37,Physician/Pediatric Medicine,2080T0004X,"Allopathic & Osteopathic Physicians/Pediatrics, Pediatric Transplant Hepatology"
37,Physician/Pediatric Medicine,2080S0012X,"Allopathic & Osteopathic Physicians/Pediatrics, Sleep Medicine"
37,Physician/Pediatric Medicine,2080S0010X,"Allopathic & Osteopathic Physicians/Pediatrics, Sports Medicine"
38,Physician/Geriatric Medicine,207RG0300X,"Allopathic & Osteopathic Physicians/Internal Medicine, Geriatric Medicine"
38,Physician/Geriatric Medicine,207QG0300X,"Allopathic & Osteopathic Physicians/Family Medicine, Geriatric Medicine"
39,Physician/Nephrology,207RN0300X,"Allopathic & Osteopathic Physicians/Internal Medicine, Nephrology"
40,Physician/Hand Surgery,2086S0105X,"Allopathic & Osteopathic Physicians/Surgery, Surgery of the Hand"
40,Physician/Hand Surgery,2082S0105X,"Allopathic & Osteopathic Physicians/Plastic Surgery, Surgery of the Hand"
41,Optometry,152W00000X,Eye and Vision Service Providers/Optometrist
41,Optometry,152WC0802X,"Eye and Vision Service Providers/Optometrist, Corneal and Contact Management"
41,Optometry,152WL0500X,"Eye and Vision Service Providers/Optometrist, Low Vision Rehabilitation"
41,Optometry,152WX0102X,"Eye and Vision Service Providers/Optometrist, Occupational Vision"
41,Optometry,152WP0200X,"Eye and Vision Service Providers/Optometrist, Pediatrics"
41,Optometry,152WS0006X,"Eye and Vision Service Providers/Optometrist, Sports Vision"
41,Optometry,152WV0400X,"Eye and Vision Service Providers/Optometrist, Vision Therapy"
42,Certified Nurse Midwife,367A00000X,"Physician Assistants & Advanced Practice Nursing Providers/Midwife, Certified Nurse"
43,Certified Registered Nurse Anesthetist (CRNA),367500000X,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Anesthetist, Certified Registered"
44,Physician/Infectious Disease,207RI0200X,"Allopathic & Osteopathic Physicians/Internal Medicine, Infectious Disease"
45,Mammography Center,261QR0208X,"Ambulatory Health Care Facilities/Clinic-Center, Radiology, Mammography"
45,Mammography Center,261QR0207X,"Ambulatory Health Care Facilities/Clinic-Center, Radiology, Mobile Mammography"
46,Physician/Endocrinology,207RE0101X,"Allopathic & Osteopathic Physicians/Internal Medicine, Endocrinology, Diabetes & Metabolism"
47,Independent Diagnostic Testing Facility (IDTF),293D00000X,Laboratories/Physiological Laboratory
48,Podiatry,213E00000X,Podiatric Medicine & Surgery Service Providers/Podiatrist
48,Podiatry,213ES0103X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Foot & Ankle Surgery"
48,Podiatry,213ES0131X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Foot Surgery"
48,Podiatry,213EG0000X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, General Practice"
48,Podiatry,213EP1101X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Primary Podiatric Medicine"
48,Podiatry,213EP0504X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Public Medicine"
48,Podiatry,213ER0200X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Radiology"
48,Podiatry,213ES0000X,"Podiatric Medicine & Surgery Service Providers/Podiatrist, Sports Medicine"
49,Ambulatory Surgical Center,261QA1903X,"Ambulatory Health Care Facilities/Clinic-Center, Ambulatory Surgical"
50,Nurse Practitioner,363L00000X,Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner
